[20:26:57 SYSTEM                  ] Tempest Server Started.
[20:27:0 SYSTEM                   ] 127.0.0.1 connected to server.
[20:27:2 127.0.0.1 LOGIN          ] (VOID) genevieve
[20:27:2 127.0.0.1 LOGIN          ] (VOID) genna
[20:27:3 127.0.0.1 Genevieve      ] (1576) Entered the world.
[20:27:6 127.0.0.1 Genevieve      ] (1576) cast gem missile orchid
[20:27:11 127.0.0.1 Genevieve     ] (1576) cast gem missile zora
[20:27:12 127.0.0.1 Genevieve     ] (1576) \
[20:27:13 127.0.0.1 Genevieve     ] (1576) \
[20:27:15 127.0.0.1 Genevieve     ] (1576) \
[20:27:15 127.0.0.1 Genevieve     ] (1576) \
[20:27:16 127.0.0.1 Genevieve     ] (1576) \
[20:27:17 127.0.0.1 Genevieve     ] (1576) \
[20:27:17 127.0.0.1 Genevieve     ] (1576) \
[20:27:17 127.0.0.1 Genevieve     ] (1576) \
[20:27:18 127.0.0.1 Genevieve     ] (1576) \
[20:27:18 127.0.0.1 Genevieve     ] (1576) \
[20:27:18 127.0.0.1 Genevieve     ] (1576) \
[20:27:18 127.0.0.1 Genevieve     ] (1576) \
[20:27:18 127.0.0.1 Genevieve     ] (1576) \
[20:27:19 127.0.0.1 Genevieve     ] (1576) \
[20:27:19 127.0.0.1 Genevieve     ] (1576) \
[20:27:29 127.0.0.1 Genevieve     ] (1576) load mob bonkers
[20:27:32 127.0.0.1 Genevieve     ] (1576) cast fireball bonkers
[20:46:5 SYSTEM                   ] 127.0.0.1 Genevieve went linkdead in-game.
