[0:46:49 SYSTEM                   ] Tempest Server Started.
[0:46:51 SYSTEM                   ] 127.0.0.1 connected to server.
[0:46:53 127.0.0.1 LOGIN          ] (VOID) genevieve
[0:46:54 127.0.0.1 LOGIN          ] (VOID) genna
[0:46:54 127.0.0.1 Genevieve      ] (1576) Entered the world.
[0:46:57 127.0.0.1 Genevieve      ] (1576) rel info bloody rose
[0:47:2 127.0.0.1 Genevieve       ] (1576) rel info golgotha
[0:48:2 127.0.0.1 Genevieve       ] (1576) who
[0:48:4 127.0.0.1 Genevieve       ] (1576) inv
[0:48:4 127.0.0.1 Genevieve       ] (1576) who
[0:48:6 127.0.0.1 Genevieve       ] (1576) l map
[0:48:6 127.0.0.1 Genevieve       ] (1576) quit
[0:48:6 SYSTEM                    ] 127.0.0.1 Genevieve quit the game.
